Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Career1,Career2,Career3
C,B,C,A,B,D,C,D,A,B,C,A,Researcher,AI Engineer,Data Scientist
B,B,C,C,A,A,A,D,A,D,A,B,Data Scientist,AI Engineer,Software Developer
D,C,C,B,A,D,A,B,A,C,B,B,Data Scientist,UI/UX Designer,Entrepreneur
D,A,A,D,D,A,D,B,D,D,C,C,Entrepreneur,UI/UX Designer,Product Manager
D,B,A,B,D,B,A,B,B,C,A,C,Product Manager,Entrepreneur,UI/UX Designer
A,D,C,D,A,D,B,D,B,A,C,A,Backend Developer,Cloud Engineer,Cybersecurity
A,D,B,D,D,C,C,C,D,A,A,A,Backend Developer,UX Designer,Cybersecurity
A,A,B,B,A,B,A,D,D,B,A,A,Cloud Engineer,Backend Developer,Cybersecurity
C,C,D,C,D,A,C,C,D,D,D,D,Researcher,AI Engineer,Data Scientist
B,B,A,D,C,B,D,B,D,A,B,A,Data Scientist,AI Engineer,Software Developer
C,C,C,A,A,B,A,B,B,B,D,B,AI Engineer,Data Scientist,Researcher
D,B,D,D,C,B,B,B,D,A,A,D,Software Developer,Product Manager,UI/UX Designer
C,B,B,A,B,A,A,A,A,B,B,D,Data Scientist,Researcher,AI Engineer
D,A,C,A,B,B,D,C,C,C,C,A,Entrepreneur,UI/UX Designer,Product Manager
C,C,A,A,B,A,A,B,C,A,C,C,Researcher,AI Engineer,Data Scientist
A,B,B,C,C,A,A,D,B,D,D,A,Software Developer,Cybersecurity,Backend Developer
A,D,A,C,D,B,C,D,B,C,D,C,Cloud Engineer,Backend Developer,Cybersecurity
B,A,C,D,B,B,A,D,A,C,C,A,AI Engineer,Software Developer,Data Scientist
B,C,B,D,C,D,A,C,C,D,A,D,Software Developer,Data Scientist,AI Engineer
D,A,D,C,C,A,C,C,D,A,C,B,UI/UX Designer,Product Manager,Entrepreneur
A,A,B,B,C,B,C,C,B,A,B,A,Cloud Engineer,Cybersecurity,Backend Developer
A,A,A,B,A,A,B,A,A,D,C,C,Backend Developer,Cybersecurity,Cloud Engineer
B,D,C,D,A,D,D,A,A,D,A,B,Data Scientist,UX Designer,Software Developer
D,D,B,B,C,B,A,B,C,A,A,C,Product Manager,UX Designer,UI/UX Designer
B,B,C,C,A,D,C,A,D,D,D,C,AI Engineer,Software Developer,Data Scientist
A,A,A,A,C,C,A,C,D,C,D,A,Backend Developer,Cybersecurity,Cloud Engineer
C,C,A,D,B,C,A,B,A,C,B,D,AI Engineer,Data Scientist,Researcher
A,A,C,B,C,D,B,C,A,D,B,A,Cloud Engineer,Cybersecurity,Backend Developer
D,C,A,C,A,C,D,B,C,B,A,A,UI/UX Designer,Data Scientist,Product Manager
B,B,A,C,B,B,C,D,A,A,B,A,Software Developer,AI Engineer,Data Scientist
B,C,B,B,C,C,C,B,C,C,D,C,Software Developer,Data Scientist,AI Engineer
A,A,A,B,D,B,C,A,A,C,B,D,Cybersecurity,Backend Developer,Cloud Engineer
A,D,A,A,C,B,A,C,D,B,B,D,Backend Developer,Cloud Engineer,Cybersecurity
D,B,B,D,B,B,D,D,C,B,B,A,Product Manager,UI/UX Designer,Entrepreneur
A,B,D,D,A,C,B,B,D,C,D,D,Backend Developer,Cybersecurity,Software Developer
B,B,C,B,D,D,A,B,A,A,B,A,Data Scientist,Software Developer,AI Engineer
C,D,C,B,B,C,D,D,A,C,D,D,Data Scientist,AI Engineer,Researcher
C,C,D,A,C,A,C,A,D,D,A,B,Researcher,AI Engineer,Data Scientist
C,D,C,C,D,D,D,D,D,D,D,C,UX Designer,AI Engineer,Researcher
A,D,D,A,C,C,A,D,A,D,A,B,Cybersecurity,UX Designer,Cloud Engineer
A,B,B,A,C,A,A,C,D,B,C,B,Software Developer,Backend Developer,Cybersecurity
C,D,C,B,C,A,D,A,A,A,A,A,UX Designer,AI Engineer,Researcher
A,C,C,A,D,D,A,B,D,B,A,A,Cybersecurity,Backend Developer,Data Scientist
B,A,A,D,D,C,B,A,D,D,C,C,AI Engineer,Software Developer,Data Scientist
B,A,C,B,B,C,A,D,A,C,D,D,Data Scientist,Software Developer,AI Engineer
D,B,B,B,D,C,C,D,A,C,D,B,UI/UX Designer,Software Developer,Product Manager
A,C,C,D,A,A,C,A,A,C,C,D,Data Scientist,Cybersecurity,Cloud Engineer
B,C,A,C,C,A,B,C,C,B,D,C,Data Scientist,Software Developer,AI Engineer
C,C,C,B,D,C,D,A,A,A,C,B,AI Engineer,Researcher,Data Scientist
C,D,D,A,A,B,A,A,B,C,C,D,UX Designer,AI Engineer,Researcher
A,C,D,D,C,D,D,A,C,C,B,C,Cybersecurity,Cloud Engineer,Backend Developer
A,C,A,A,D,B,D,B,D,C,B,C,Cloud Engineer,Backend Developer,Cybersecurity
C,B,D,B,B,C,B,D,A,C,C,D,AI Engineer,Software Developer,Researcher
A,A,C,D,B,B,A,B,D,D,C,C,Backend Developer,Cloud Engineer,Cybersecurity
A,D,B,C,C,C,B,B,D,D,C,B,Cybersecurity,Backend Developer,UX Designer
C,C,C,C,D,B,A,B,A,B,A,B,AI Engineer,Researcher,Data Scientist
C,A,D,A,A,B,A,C,C,B,A,C,AI Engineer,Data Scientist,Researcher
A,B,D,D,C,B,B,B,A,C,C,C,Backend Developer,Software Developer,Cloud Engineer
C,D,C,B,D,A,D,D,C,C,C,D,Data Scientist,AI Engineer,UX Designer
B,B,D,D,B,D,C,A,B,D,D,C,Software Developer,Data Scientist,AI Engineer
D,A,D,C,C,B,A,C,B,D,C,C,Product Manager,Entrepreneur,UI/UX Designer
D,B,B,D,B,C,D,A,B,B,A,B,UI/UX Designer,Entrepreneur,Software Developer
D,C,A,C,B,C,D,C,D,C,A,D,UI/UX Designer,Entrepreneur,Product Manager
C,A,D,C,D,D,A,C,B,C,C,B,AI Engineer,Data Scientist,Researcher
D,A,B,C,C,A,A,C,D,A,A,D,Product Manager,Entrepreneur,UI/UX Designer
C,C,A,B,D,B,A,B,B,D,C,A,Data Scientist,AI Engineer,Researcher
D,B,D,D,C,C,C,B,D,A,A,C,Software Developer,Entrepreneur,Product Manager
A,C,D,B,C,C,D,C,D,C,C,A,Data Scientist,Backend Developer,Cybersecurity
D,B,C,B,C,A,D,C,A,D,C,C,Product Manager,Entrepreneur,Software Developer
B,A,A,D,A,A,C,A,D,B,B,B,Data Scientist,AI Engineer,Software Developer
B,D,C,D,D,D,D,B,D,C,D,A,UX Designer,Data Scientist,AI Engineer
D,D,A,A,C,D,C,D,D,A,D,A,UI/UX Designer,UX Designer,Product Manager
C,A,A,B,C,A,B,D,B,B,C,A,Researcher,Data Scientist,AI Engineer
B,D,B,A,B,A,D,C,C,C,D,C,AI Engineer,Data Scientist,UX Designer
A,D,B,B,A,B,D,B,A,A,A,C,UX Designer,Cloud Engineer,Cybersecurity
A,B,A,D,B,D,D,C,A,D,C,A,Software Developer,Cloud Engineer,Backend Developer
B,C,B,A,D,D,A,A,B,C,D,A,Data Scientist,AI Engineer,Software Developer
B,D,C,C,C,A,D,B,D,A,D,D,UX Designer,Software Developer,AI Engineer
A,D,B,B,D,C,D,B,D,D,B,A,Cloud Engineer,Cybersecurity,Backend Developer
A,B,D,D,D,B,B,A,B,D,D,A,Cloud Engineer,Software Developer,Backend Developer
B,A,A,D,C,B,D,B,C,A,B,B,AI Engineer,Software Developer,Data Scientist
C,A,A,A,C,C,A,B,D,D,C,C,Researcher,Data Scientist,AI Engineer
C,C,C,C,D,B,C,D,A,C,D,B,Data Scientist,Researcher,AI Engineer
D,A,A,C,A,D,B,C,C,A,C,B,Entrepreneur,Product Manager,UI/UX Designer
C,A,B,B,A,C,C,D,A,C,C,A,Researcher,Data Scientist,AI Engineer
B,D,D,B,D,A,D,A,B,C,D,D,UX Designer,Software Developer,Data Scientist
B,B,A,C,A,A,C,D,B,A,B,D,AI Engineer,Data Scientist,Software Developer
C,A,D,A,C,B,B,D,D,A,D,A,Researcher,AI Engineer,Data Scientist
A,C,A,C,A,B,D,B,A,C,A,D,Cloud Engineer,Cybersecurity,Backend Developer
C,D,D,D,D,A,A,B,B,A,A,B,Researcher,Data Scientist,UX Designer
C,B,A,D,D,A,D,A,A,B,C,B,AI Engineer,Researcher,Software Developer
D,C,D,A,A,C,D,B,D,C,D,D,Data Scientist,Entrepreneur,Product Manager
D,A,A,C,A,A,A,B,B,C,A,B,Entrepreneur,UI/UX Designer,Product Manager
C,C,A,B,D,B,B,C,D,D,B,D,Data Scientist,Researcher,AI Engineer
D,C,A,D,C,B,D,C,C,B,A,D,Product Manager,Data Scientist,UI/UX Designer
D,B,B,A,A,A,A,C,D,C,B,C,Software Developer,Product Manager,UI/UX Designer
C,D,C,B,C,B,A,C,C,B,C,A,Researcher,AI Engineer,UX Designer
A,C,D,B,B,A,A,B,B,D,A,A,Cloud Engineer,Cybersecurity,Data Scientist
C,A,A,D,C,A,D,C,B,C,B,A,Researcher,AI Engineer,Data Scientist
D,C,A,A,B,C,B,B,C,C,B,D,Data Scientist,Product Manager,Entrepreneur
B,C,B,D,C,D,D,B,A,C,B,B,AI Engineer,Software Developer,Data Scientist
A,C,C,D,C,B,C,B,B,D,D,B,Cloud Engineer,Backend Developer,Data Scientist
A,D,B,D,C,A,D,C,A,C,B,D,Cloud Engineer,UX Designer,Cybersecurity
A,B,C,D,A,A,C,D,C,D,C,B,Software Developer,Cloud Engineer,Backend Developer
C,D,B,C,B,C,B,B,B,A,B,D,Data Scientist,AI Engineer,UX Designer
C,B,D,A,B,C,B,B,B,B,B,A,AI Engineer,Software Developer,Data Scientist
B,C,A,C,D,A,C,A,B,D,C,B,AI Engineer,Data Scientist,Software Developer
D,B,C,B,A,C,B,D,C,C,B,B,Software Developer,UI/UX Designer,Entrepreneur
A,C,B,A,A,A,A,D,B,C,C,B,Backend Developer,Cybersecurity,Data Scientist
D,A,A,A,B,B,B,A,D,D,C,D,Product Manager,UI/UX Designer,Entrepreneur
D,D,A,A,D,C,B,A,C,C,C,A,UI/UX Designer,Entrepreneur,Product Manager
D,C,B,A,B,B,B,B,B,A,B,B,Entrepreneur,Product Manager,Data Scientist
C,A,C,B,D,B,A,B,A,A,A,D,AI Engineer,Data Scientist,Researcher
C,B,A,D,B,A,C,C,B,D,D,B,AI Engineer,Data Scientist,Software Developer
D,C,B,C,D,B,C,D,C,D,C,B,UI/UX Designer,Product Manager,Entrepreneur
A,B,C,D,B,C,C,C,B,B,D,A,Backend Developer,Cloud Engineer,Cybersecurity
A,A,C,C,C,D,B,C,C,B,A,D,Backend Developer,Cloud Engineer,Cybersecurity
D,A,C,D,B,C,B,C,C,C,B,D,Entrepreneur,UI/UX Designer,Product Manager
B,D,A,A,B,B,C,C,A,B,B,D,UX Designer,Data Scientist,Software Developer
A,D,B,A,B,C,C,D,A,A,A,A,Backend Developer,Cybersecurity,Cloud Engineer
A,A,D,A,A,A,C,B,C,D,A,B,Cloud Engineer,Cybersecurity,Backend Developer
C,C,A,A,B,B,B,A,B,A,B,C,AI Engineer,Researcher,Data Scientist
D,B,A,B,D,C,D,C,A,D,A,A,Software Developer,Entrepreneur,UI/UX Designer
A,C,A,B,B,D,D,A,A,D,C,A,Backend Developer,Cloud Engineer,Cybersecurity
A,B,C,D,C,C,D,B,D,A,C,C,Software Developer,Cloud Engineer,Backend Developer
B,D,B,D,D,C,B,A,D,B,D,C,Software Developer,UX Designer,Data Scientist
C,B,B,C,D,D,C,D,B,D,B,D,Software Developer,Researcher,Data Scientist
D,C,C,D,B,A,A,A,D,D,B,A,Data Scientist,Product Manager,UI/UX Designer
C,A,D,A,B,D,B,D,C,A,C,C,Data Scientist,AI Engineer,Researcher
B,A,A,B,C,D,B,C,C,B,A,C,Data Scientist,AI Engineer,Software Developer
C,C,B,A,A,A,A,C,B,B,D,D,AI Engineer,Data Scientist,Researcher
A,B,A,D,B,C,A,B,B,B,D,D,Cloud Engineer,Backend Developer,Cybersecurity
A,A,B,A,B,A,D,C,D,B,C,D,Cloud Engineer,Cybersecurity,Backend Developer
C,D,B,C,D,D,A,C,D,A,D,A,Researcher,UX Designer,AI Engineer
B,A,B,C,C,A,A,A,D,D,C,A,Software Developer,AI Engineer,Data Scientist
B,A,B,D,B,B,C,B,A,D,B,D,AI Engineer,Data Scientist,Software Developer
D,A,A,C,B,A,B,D,D,A,B,B,Product Manager,Entrepreneur,UI/UX Designer
B,C,A,C,A,B,A,B,A,D,D,C,Software Developer,Data Scientist,AI Engineer
C,D,D,D,A,C,C,C,A,B,D,A,AI Engineer,Data Scientist,Researcher
B,A,C,B,B,D,A,D,D,A,B,D,Data Scientist,AI Engineer,Software Developer
D,D,B,B,C,B,C,D,B,D,D,C,Product Manager,Entrepreneur,UI/UX Designer
B,D,D,C,B,A,A,A,B,D,C,A,Data Scientist,AI Engineer,UX Designer
C,C,A,C,A,D,B,B,D,D,A,C,Researcher,Data Scientist,AI Engineer
A,B,D,A,A,C,A,A,D,B,C,A,Cloud Engineer,Cybersecurity,Software Developer
A,C,A,D,C,A,C,D,B,C,D,C,Cloud Engineer,Backend Developer,Cybersecurity
A,D,B,D,C,A,A,D,D,A,C,A,Cloud Engineer,Backend Developer,UX Designer
C,C,B,B,B,D,B,C,D,B,A,B,AI Engineer,Researcher,Data Scientist
B,B,D,B,A,D,D,C,A,A,B,A,Software Developer,AI Engineer,Data Scientist
D,D,D,C,A,B,D,D,D,B,A,B,Entrepreneur,UI/UX Designer,UX Designer
D,C,C,C,D,D,D,C,C,D,B,B,UI/UX Designer,Product Manager,Entrepreneur
C,A,A,C,B,C,A,B,D,C,C,A,AI Engineer,Researcher,Data Scientist
D,C,D,A,B,D,C,D,C,C,D,D,Entrepreneur,Data Scientist,Product Manager
C,C,C,B,B,D,C,B,A,D,D,C,AI Engineer,Researcher,Data Scientist
